aleman,espanol,nivel
Die gefahr,El peligro,A1
Die entscheidung,La decision,A1
Der meister,El maestro,A1
Der zug,El tren,A1
Der chef,El jefe,A1
Die klappe,La solapa,A1
Die minute,El minuto,A1
Der anfang,El comienzo,A1
Der monsieur,El señor,A1
Der partner,El socio,A1
Die reise,El viaje,A1
Die dame,La dama,A1
Der bescheid,La decision,A1
Der raum,El espacio,A1
Die rolle,El papel,A1
Die lage,La ubicación,A1
Die hochzeit,La boda,A1
Die weise,El sabio,A1
Die richtung,La direccion,A1
Der anwalt,El abogado,A1
Das agent,El agente,A1
Das beispiel,El ejemplo,A1
Die vorsicht,La precaución,A1
Die seele,El alma,A1
Das boot,El barco,A1
Die kontrolle,El control,A1
Der befehl,El comando,A1
Der brief,La carta,A1
Die schreit,Ella grita,A1
Die tasche,La bolsa,A1
Der unfall,El accidente,A1
Die verbindung,La conexión,A1
Der punkt,El punto,A1
Der geist,El espíritu,A1
Der professor,El profesor,A1
Das gold,El oro,A1
Der computer,La computadora,A1
Die sonne,El sol,A1
Der hunger,El hambre,A1
Die lady,La dama,A1
Der preis,El precio,A1
Die firma,La empresa,A1
Das wunder,El milagro,A1
Der frieden,La paz,A1
Der herrn,El caballero,A1
Die liste,La lista,A1
Die sekunde,El segundo,A1
Der anruf,La llamada,A1
Die beziehung,La relación,A1
Der präsident,El presidente,A1
Der witz,El chiste,A1
Der geburtstag,El cumpleaños,A1
Die möglichkeit,La posibilidad,A1
Der wein,El vino,A1
Der bord,El tablero,A1
Die fahre,Ella conduce,A1
Die nase,La nariz,A1
Die bank,El banco,A1
Der blick,La vista,A1
Die hau,El hau,A1
Das geheimnis,El secreto,A1
Das flugzeug,El avion,A1
Der fuß,El pie,A1
Die tante,La tia,A1
Die regierung,El gobierno,A1
Die armee,El ejercito,A1
Die majestät,La majestuosidad,A1
Die kirche,La iglesia,A1
Der kontakt,El contacto,A1
Die hoffnung,La esperanza,A1
Das schicksal,Destino,A1
Die lust,La lujuria,A1
Das gericht,La corte,A1
Die gesellschaft,La sociedad,A1
Das zeichen,El signo,A1
Das volk,Pueblo,A1
Die überraschung,La sorpresa,A1
Das tee,El te,A1
Die schlampe,La perra,A1
Die achtung,El respeto,A1
Das weihnachten,Esa navidad,A1
Das heim,El hogar,A1
Der sheriff,El sheriff,A1
Die vergangenheit,El pasado,A1
Die situation,La situacion,A1
Der frag,El pregunta,A1
Der besuch,La visita,A1
Der schritt,El paso,A1
Der guck,La mirada,A1
Der hals,El cuello,A1
Der ehemann,El marido,A1
Der brauch,El cumquibus,A1
Die insel,La isla,A1
Das glas,El vaso,A1
Die königin,La reina,A1
Die kamera,La camara,A1
Die prinzessin,La princesa,A1
Das gesetz,La ley,A1
Die freude,La alegria,A1
Die aufgabe,La tarea,A1
Die mission,La mision,A1
Die küche,La cocina,A1
Der ball,La pelota,A1
Das lied,La cancion,A1
Die spur,La pista,A1
Die adresse,La dirección,A1
Die hälfte,La mitad,A1
Die position,La posición,A1
Die gruppe,El grupo,A1
Die mark,La marca,A1
Die freiheit,La libertad,A1
Der drink,La bebida,A1
Das meer,El mar,A1
Der eis,El helado,A1
Das kleid,El vestido,A1
Der schmerz,El dolor,A1
Der wind,El viento,A1
Der bericht,El informe,A1
Der ring,El anillo,A1
Das taxi,El taxi,A1
Das fernsehen,La television,A1
Der erfolg,El éxito,A1
Das unternehmen,La empresa,A1
Die maschine,La maquina,A1
Die helfe,La ayuda,A1
Die energie,La energia,A1
Der angriff,El ataque,A1
Der beeil,La prisa,A1
Die freue,El feliz,A1
Der unterschied,La diferencia,A1
Das angebot,La oferta,A1
Der bein,La pierna,A1
Der polizist,El policia,A1
Die nee,El no,A1
Der park,El parque,A1
Die operation,La operacion,A1
Die zeitung,El periódico,A1
Das gehirn,El cerebro,A1
Die wand,La pared,A1
Die gelegenheit,La oportunidad,A1
Die bombe,La bomba,A2
Der mut,El coraje,A2
Der bus,El autobus,A2
Der steig,La subida,A2
Die lüge,La mentira,A2
Die ecke,La esquina,A2
Die flasche,La botella,A2
Der zeitpunkt,El momento,A2
Der lord,El señor,A2
Das haar,El pelo,A2
Das gespräch,La conversacion,A2
Das interesse,El interes,A2
Die verantwortung,La responsabilidad,A2
Die folge,El episodio,A2
Das tor,La puerta,A2
Das system,El sistema,A2
Der sommer,El verano,A2
Die red,El rojo,A2
Der club,El club,A2
Das frühstück,El desayuno,A2
Der druck,La presion,A2
Der wahnsinn,La locura,A2
Der baum,El arbol,A2
Der verdammter,El maldito,A2
Der auftrag,El orden,A2
Das held,El héroe,A2
Die gewalt,La violencia,A2
Der kurs,El curso,A2
Die lösung,La solución,A2
Der flug,El vuelo,A2
Der beweis,La prueba,A2
Der stein,La piedra,A2
Die katze,El gato,A2
Die pause,El descanso,A2
Das tier,El animal,A2
Der prinz,El principe,A2
Die übersetzung,La traducción,A2
Der irgendjemand,El cualquiera,A2
Die natur,La naturaleza,A2
Das risiko,El riesgo,A2
Die erfahrung,La experiencia,A2
Die runde,La ronda,A2
Der gibts,Hay,A2
Das thema,El tema,A2
Das isst,Eso es comer,A2
Die reihe,La serie,A2
Die ryan,El ryan,A2
Der dienst,El servicio,A2
Der zufall,La coincidencia,A2
Die zustand,La condición,A2
Die szene,La escena,A2
Der strand,La playa,A2
Der mond,La luna,A2
Der soldat,El soldado,A2
Das radio,La radio,A2
Die erinnerung,La memoria,A2
Der direktor,El director,A2
Der gang,El pasillo,A2
Der streit,La disputa,A2
Der netter,El mas lindo,A2
Die sprache,El idioma,A2
Der scherz,El chiste,A2
Das arbeitest,Eso funciona,A2
Der vertrag,El contrato,A2
Die grenze,La frontera,A2
Der such,El esta mirando,A2
Der bürgermeister,El alcalde,A2
Die milch,La leche,A2
Die wache,El guardia,A2
Die nette,El bueno,A2
Die pflicht,El deber,A2
Der anzug,El traje,A2
Die tatsache,El hecho,A2
Der sieg,La victoria,A2
Der schutz,La proteccion,A2
Das programm,El programa,A2
Der stock,El palo,A2
Die form,La forma,A2
Die erklärung,La explicacion,A2
Die krankheit,La enfermedad,A2
Die aufmerksamkeit,La atencion,A2
Der großmutter,De la abuela,A2
Das pfund,La libra,A2
Die kunst,Arte,A2
Die million,El millon,A2
Der trottel,El idiota,A2
Der termin,La cita,A2
Das theater,El teatro,A2
Die joey,El joey,A2
Das grab,La tumba,A2
Der griff,El mango,A2
Das video,El vídeo,A2
Der alkohol,El alcohol,A2
Der selbstmord,El suicidio,A2
Die marie,María,A2
Die hank,La madeja,A2
Der einsatz,El uso,A2
Der gast,El invitado,A2
Der flughafen,El aeropuerto,A2
Die panik,El pánico,A2
Die absicht,La intencion,A2
Die mühe,El esfuerzo,A2
Die code,El codigo,A2
Das shield,El escudo,A2
Der freitag,Viernes,A2
Die schicke,El chic,A2
Der sonntag,Domingo,A2
Die vorstellung,La idea,A2
Die größe,El tamaño,A2
Das ohr,La oreja,A2
Die medizin,La medicina,A2
Der tanz,El baile,A2
Die rechnung,La factura,A2
Das gegenteil,Lo contrario,A2
Die aussage,La declaración,A2
Das prozent,El porcentaje,A2
Das trick,Ese truco,A2
Die schönheit,La belleza,A2
Die unterstützung,El apoyo,A2
Die flucht,El escape,A2
Der norden,El norte,A2
Die station,La estacion,A2
Die hoheit,Su alteza,A2
Das erlaubnis,El permiso,A2
Der berg,La montaña,A2
Die botschaft,El mensaje,A2
Der ed,La educación,A2
Die post,La publicación,A2
Die brust,El cofre,A2
Das gebiet,El área,A2
Das kino,El cine,A2
Der beruf,El trabajo,A2
Die einheit,La unidad,A2
Die gerechtigkeit,La justicia,A2
Der verräter,El traidor,A2
Die deckung,La portada,A2
Das gewehr,El rifle,A2
Die geduld,La paciencia,A2
Der zugang,El acceso,A2
Der bauch,El estomago,A2
Die mitte,El medio,A2
Der herrgott,El señor,A2
Die untersuchung,La investigacion,A2
Der montag,Lunes,A2
Die presse,La prensa,A2
Das brot,El pan,A2
Die magie,La magia,A2
Der westen,Occidente,A2
Der laß,Déjalo,A2
Der wetter,El clima,A2
Der sexy,El sexy,A2
Das chaos,El caos,A2
Die freundschaft,La amistad,A2
Die zunge,La lengua,A2
Die strafe,El castigo,A2
Die rate,La tasa,A2
Der winter,El invierno,A2
Der inspektor,El inspector,A2
Das leck,La fuga,A2
Die zahl,El numero,A2
Der samstag,El sabado,A2
Der eindruck,La impresion,A2
Die bedeutung,El significado,A2
Das projekt,El proyecto,A2
Die bühne,El escenario,A2
Die kleidung,La ropa,A2
Die julie,La julia,A2
Die theorie,La teoria,A2
Die menschheit,Humanidad,A2
Die vince,El vince,A2
Das virus,El virus,A2
Der motor,El motor,A2
Die annie,La annie,A2
Der geschmack,El sabor,A2
Die zelle,La celda,A2
Die beeilung,La prisa,A2
Die abteilung,El departamento,A2
Der sturm,La tormenta,A2
Der vorschlag,La sugerencia,A2
Die beerdigung,El funeral,A2
Die spitze,La cumbre,A2
Das unrecht,Eso esta mal,A2
Das find,Encuentra eso,A2
Die schlafe,Ella esta durmiendo,A2
Das papier,El papel,A2
Die geburt,El nacimiento,A2
Der notfall,La emergencia,A2
Der sack,La bolsa,A2
Der süden,El sur,A2
Die genie,El genio,A2
Das kommando,El comando,A2
Der krebs,El cancer,A2
Die fliege,La mosca,A2
Der huh,El eh,A2
Die heimat,La patria,A2
Die öffne,Ábrelo,A2
Der kilometer,El kilómetro,A2
Der strom,La corriente,A2
Die kuh,La vaca,A2
Das geil,Eso es genial,A2
Die schlange,La serpiente,A2
Die explosion,La explosión,A2
Das talent,El talento,A2
Das feld,El campo,A2
Die laura,Laura,A2
Das publikum,La audiencia,A2
Die unterhaltung,El entretenimiento,A2
Die leitung,La gestion,A2
Die mitternacht,La medianoche,A2
Der staat,El estado,A2
Die hütte,La choza,A2
Der stoff,La tela,A2
Das mitglied,El miembro,A2
Die korrektur,La correccion,A2
Die elena,La elena,A2
Die wut,La ira,A2
Die maggie,La maggie,A2
Die information,La informacion,A2
Der doctor,El doctor,A2
Der schnee,La nieve,A2
Der besitz,La posesión,A2
Die stärke,La fuerza,A2
Das wirf,Eso arroja,A2
Die politik,La politica,A2
Das werk,La obra,A2
Der führer,El líder,A2
Die zigarette,El cigarrillo,A2
Der marshall,El mariscal,A2
Die klinik,La clínica,A2
Der kauf,La compra,A2
Die pizza,La pizza,A2
Die verzeih,El indulto,A2
Die maske,La mascara,A2
Der leiter,El líder,A2
Der april,Abril,A2
Das fett,La grasa,A2
Das unglück,La desgracia,A2
Der verlust,La perdida,A2
Die einladung,La invitacion,A2
Das fluch,La maldición,A2
Der stern,La estrella,A2
Die sendung,La transmision,A2
Der markt,El mercado,A2
Die wüste,El desierto,A2
Der patient,El paciente,A2
Der zweck,El propósito,A2
Der hass,El odio,A2
Der senator,El senador,A2
Die verstärkung,El refuerzo,A2
Die uniform,El uniforme,A2
Die realität,La realidad,A2
Das holz,La madera,A2
Der pack,La manada,A2
Der tiger,El tigre,A2
Der anteil,La proporción,A2
Das urteil,El veredicto,A2
Die wayne,El wayne,A2
Die gesundheit,La salud,A2
Die scheidung,El divorcio,A2
Die angelegenheit,El asunto,A2
Die öffentlichkeit,El publico,A2
Das revier,El distrito,A2
Die wirklichkeit,La realidad,A2
Die verfügung,El orden,A2
Der roman,La novela,A2
Die jungfrau,La virgen,A2
Die ratte,La rata,A2
Die verteidigung,La defensa,A2
Der schreib,El escribe,A2
Die anklage,La acusación,A2
Der west,El oeste,A2
Der jäger,El cazador,A2
Der tunnel,El tunel,A2
Die probe,La muestra,A2
Das viertel,El cuarto,A2
Die wissenschaft,La ciencia,A2
Der hinweis,La nota,A2
Die suppe,La sopa,A2
Der scheißkerl,El bastardo,A2
Das gedächtnis,La memoria,A2
Die behandlung,El tratamiento,A2
Die sicht,La vista,A2
Das landes,El pais,A2
Der truck,El camion,A2
Das jahrhundert,El siglo,A2
Das mitleid,La pena,A2
Der titel,El titulo,A2
Der antrag,La solicitud,A2
Das dutzend,La docena,A2
Der verrückter,El loco,A2
Der sitz,El asiento,A2
Die linie,La linea,B1
Die dummkopf,El tonto,B1
Die basis,La base,B1
Der käse,El queso,B1
Der gegner,El oponente,B1
Der stil,El estilo,B1
Der schock,El shock,B1
Der vorteil,La ventaja,B1
Die affäre,El asunto,B1
Der empfang,La recepcion,B1
Der ausweis,La identificación,B1
Der start,El comienzo,B1
Die fabrik,La fabrica,B1
Die bedrohung,La amenaza,B1
Der gouverneur,El gobernador,B1
Der stop,La parada,B1
Die identität,La identidad,B1
Der unterricht,La lección,B1
Die revolution,La revolución,B1
Die mauer,La pared,B1
Die reaktion,La reacción,B1
Der deck,La baraja,B1
Die lektion,La lección,B1
Der kreis,El circulo,B1
Die spring,La primavera,B1
Das kilo,El kilo,B1
Die phoebe,La phoebe,B1
Der schluck,El trago,B1
Die tour,El recorrido,B1
Die rückkehr,El regreso,B1
Der donnerstag,Jueves,B1
Die störung,El desorden,B1
Die wunde,La herida,B1
Der junior,El joven,B1
Der dienstag,Martes,B1
Die verabredung,La cita,B1
Die jugend,La juventud,B1
Der verdienst,El merito,B1
Das mordes,El asesinato,B1
Der staatsanwalt,El fiscal,B1
Das gepäck,El equipaje,B1
Die stellung,La posición,B1
Der staub,El polvo,B1
Die aufnahme,La grabacion,B1
Der text,El texto,B1
Der sport,El deporte,B1
Die leidenschaft,La pasion,B1
Die flotte,La flota,B1
Die kindheit,Infancia,B1
Das benzin,La gasolina,B1
Die warnung,La advertencia,B1
Das taylor,Ese taylor,B1
Die eile,La prisa,B1
Der manager,El gerente,B1
Die bonnie,La bonnie,B1
Das königs,El real,B1
Das schild,El escudo,B1
Der bahnhof,La estacion,B1
Der minister,El ministro,B1
Die belohnung,La recompensa,B1
Die jamie,El jamie,B1
Die munition,La municion,B1
Der appetit,El apetito,B1
Die figur,La figura,B1
Die lehrerin,El maestro,B1
Der schuldest,Lo debes,B1
Der lärm,El ruido,B1
Der toter,El muerto,B1
Die lese,La lectura,B1
Der widerstand,La resistencia,B1
Der rauch,El humo,B1
Die abmachung,El trato,B1
Der hintergrund,El fondo,B1
Der verkauf,La venta,B1
Die technik,La tecnologia,B1
Die führung,El liderazgo,B1
Das anzeichen,El signo,B1
Die fantasie,La fantasia,B1
Die höhe,La altura,B1
Der satz,La frase,B1
Der euro,El euro,B1
Der mai,Puede,B1
Der admiral,El almirante,B1
Der kühlschrank,El refrigerador,B1
Die universität,La universidad,B1
Die stille,El silencio,B1
Der taub,El sordo,B1
Der kollege,El colega,B1
Die exzellenz,La excelencia,B1
Das ergebnis,El resultado,B1
Die kopie,La copia,B1
Der teddy,El peluche,B1
Der seil,La cuerda,B1
Das konto,La cuenta,B1
Die spion,El espía,B1
Die bande,La pandilla,B1
Das raumschiff,La nave espacial,B1
Die feier,La fiesta,B1
Die technologie,La tecnologia,B1
Der humor,El humor,B1
Das böses,El mal,B1
Das material,La materia,B1
Die davis,El davis,B1
Der knopf,El botón,B1
Die lane,El carril,B1
Der verrat,La traición,B1
Die kette,La cadena,B1
Die organisation,La organizacion,B1
Der hubschrauber,El helicóptero,B1
Der palast,Cortesanos,B1
Das stanley,El stanley,B1
Die gabe,El regalo,B1
Die anzeige,El anuncio,B1
Die katastrophe,La catástrofe,B1
Die umgebung,El medio ambiente,B1
Das keins,Que ninguno,B1
Der ausdruck,La expresión,B1
Die nation,La nación,B1
Der botschafter,El embajador,B1
Der spock,El spock,B1
Der pool,La piscina,B1
Der ausgang,La salida,B1
Der mädel,La chica,B1
Die einstellung,El escenario,B1
Die garage,El garaje,B1
Die russland,La rusia,B1
Die übung,El ejercicio,B1
Das studio,El estudio,B1
Das konzert,El concierto,B1
Die knarre,El arma,B1
Die küste,La costa,B1
Das netz,La red,B1
Die puppe,La muñeca,B1
Der liebhaber,El amante,B1
Der gesang,El canto,B1
Die gemeinde,La comunidad,B1
Die geschwindigkeit,La velocidad,B1
Der juli,Julio,B1
Das gloria,La gloria,B1
Die aua,El ay,B1
Die ehefrau,La esposa,B1
Die bibliothek,La biblioteca,B1
Das museum,El museo,B1
Die versicherung,El seguro,B1
Die ankunft,La llegada,B1
Das motiv,El motivo,B1
Der kunde,El cliente,B1
Der schwarzer,El negro,B1
Der zauber,La magia,B1
Das jahres,El año,B1
Der vergleich,La comparacion,B1
Die fähigkeit,La capacidad,B1
Das kent,Ese kent,B1
Die hitze,El calor,B1
Der bau,La construccion,B1
Der stiefel,La bota,B1
Das spielzeug,El juguete,B1
Die ausrüstung,El equipo,B1
Das zack,Ese auge,B1
Die prüfung,El examen,B1
Die lieferung,La entrega,B1
Der begriff,El concepto,B1
Die sekretärin,El secretario,B1
Das modell,El modelo,B1
Der esel,El burro,B1
Das protokoll,El protocolo,B1
Der handel,El comercio,B1
Der friedhof,El cementerio,B1
Der irrtum,El error,B1
Der sender,El remitente,B1
Die krone,La corona,B1
Der blitz,El relámpago,B1
Die steuer,El impuesto,B1
Die wirkung,El efecto,B1
Der fleck,La mancha,B1
Die lerne,El aprender,B1
Das tal,El valle,B1
Das gelächter,La risa,B1
Die aussicht,La vista,B1
Das personal,El personal,B1
Die ebene,El nivel,B1
Das tv,La televisión,B1
Die ausbildung,El entrenamiento,B1
Der ausweg,La salida,B1
Die mannschaft,El equipo,B1
Das interview,La entrevista,B1
Der probier,El intento,B1
Die mason,El albañil,B1
Die ladung,El cargo,B1
Die gegenwart,El presente,B1
Das bedenken,Considere que,B1
Die segne,La bendición,B1
Die katie,La katie,B1
Das tagebuch,El diario,B1
Der abschied,La despedida,B1
Das anblick,La vista,B1
Die hauptsache,Lo principal,B1
Der ruhm,La gloria,B1
Das kapitel,El capitulo,B1
Der abstand,La distancia,B1
Der trainer,El entrenador,B1
Der gewinn,La victoria,B1
Das missverständnis,El malentendido,B1
Die phase,La fase,B1
Die furcht,El miedo,B1
Das lautes,El ruidoso,B1
Der laster,El vicio,B1
Der jennifer,La jennifer,B1
Das paket,El paquete,B1
Der september,Septiembre,B1
Der gewinner,El ganador,B1
Die schaust,Ellos miran,B1
Der whisky,El whisky,B1
Die carrie,El transportista,B1
Die rasse,La raza,B1
Der schlief,El estaba durmiendo,B1
Die kultur,La cultura,B1
Der zorn,La ira,B1
Die religion,La religión,B1
Der kirk,La iglesia,B1
Die ausnahme,La excepción,B1
Der verkehr,El trafico,B1
Der knall,La explosión,B1
Das tempo,El ritmo,B1
Die sitzung,La sesión,B1
Der normaler,El normal,B1
Die therapie,La terapia,B1
Die version,La versión,B1
Die entfernung,La distancia,B1
Die schauspielerin,La actriz,B1
Die rettung,El rescate,B1
Der parkplatz,El estacionamiento,B1
Der beginn,El comienzo,B1
Die tradition,La tradicion,B1
Der papst,El papa,B1
Der juni,Junio,B1
Der kofferraum,El baúl,B1
Der eingang,La entrada,B1
Die zirkus,El circo,B1
Der schuh,El zapato,B1
Die existenz,La existencia,B1
Das verfahren,El procedimiento,B1
Der mittwoch,Miércoles,B1
Die marke,La marca,B1
Das drama,El drama,B1
Der charakter,El personaje,B1
Das salz,La sal,B1
Die trauer,La tristeza,B1
Die krankenstation,La enfermería,B1
Der block,El bloque,B1
Die anwesenheit,La presencia,B1
Der schnaps,El licor,B1
Das verständnis,El entendimiento,B1
Der sarg,El ataúd,B1
Der panzer,El tanque,B1
Die herausforderung,El desafío,B1
Die episode,El episodio,B1
Das penis,El pene,B1
Das geständnis,La confesion,B1
Der mylord,El mi señor,B1
Die witwe,La viuda,B1
Das freddy,El freddy,B1
Die werbung,La publicidad,B1
Die nahrung,La comida,B1
Die louise,La luisa,B1
Die aufregung,La emoción,B1
Das erkennst,Reconoce que,B1
Die michelle,La michelle,B1
Die aktion,La acción,B1
Das küss,Ese beso,B1
Die serie,La serie,B1
Die partei,La fiesta,B1
Das symbol,El símbolo,B1
Das maus,El raton,B1
Die marine,La marina,B1
Die kanone,El cañón,B1
Der thron,El trono,B1
Der aufzug,El ascensor,B1
Die ärztin,El doctor,B1
Der sherlock,El sherlock,B1
Das fahrzeug,El vehiculo,B1
Die dennis,El dennis,B1
Die abby,La abby,B1
Das amt,La oficina,B1
Das zentrum,El centro,B1
Das motel,El motel,B1
Der finn,El finlandés,B2
Der voyager,El viajero,B2
Der walt,El walt,B2
Der verarscht,El esta bromeando,B2
Die gerede,La charla,B2
Die stufe,El escenario,B2
Die kummer,El dolor,B2
Der regisseur,El director,B2
Der psychiater,El psiquiatra,B2
Die fängst,Tu los atrapas,B2
Der apparat,El aparato,B2
Der einbruch,El robo,B2
Der brand,El fuego,B2
Der fußball,El futbol,B2
Das kompliment,El cumplido,B2
Die generation,La generacion,B2
Die babe,El bebe,B2
Die vision,La vision,B2
Die zwischenzeit,Mientras tanto,B2
Die vergebung,El perdon,B2
Der einspruch,La objeción,B2
Die villa,La villa,B2
Die entführung,El secuestro,B2
Die ekelhaft,El repugnante,B2
Die zoe,La zoé,B2
Der vorfall,El incidente,B2
Die krise,La crisis,B2
Der zuschauer,El espectador,B2
Die methode,El metodo,B2
Die bevölkerung,La poblacion,B2
Die loyalität,La lealtad,B2
Die kleinigkeit,La cosita,B2
Die ellie,Ellie,B2
Der toby,El toby,B2
Das time,El tiempo,B2
Die atmosphäre,La atmósfera,B2
Die kreatur,La criatura,B2
Das koma,El coma,B2
Der zugriff,El acceso,B2
Die lade,El cajón,B2
Das lydia,La lidia,B2
Das worf,Eso arrojó,B2
Der profi,El profesional,B2
Der gangster,El gangster,B2
Die sternenflotte,Flota estelar,B2
Der dschungel,La jungla,B2
Die bahn,El tren,B2
Das volkes,Pueblo,B2
Der akzent,El acento,B2
Der turm,La torre,B2
Die faust,El puño,B2
Die zerstörung,La destruccion,B2
Die front,El frente,B2
Die veränderung,Cambio,B2
Die zone,La zona,B2
Der sieger,El ganador,B2
Die summe,La suma,B2
Die verfassung,La constitucion,B2
Der kümmer,El cariñoso,B2
Das kostüm,El disfraz,B2
Die verhandlung,La negociacion,B2
Die erik,El erik,B2
Die bestie,La bestia,B2
Das rezept,La receta,B2
Das ausland,El pais extranjero,B2
Das geradeaus,Que de frente,B2
Die herrin,La amante,B2
Die vernunft,La razón,B2
Die reese,El reese,B2
Der service,El servicio,B2
Die zahn,El diente,B2
Das erbe,El legado,B2
Der fürst,El principe,B2
Die tragödie,La tragedia,B2
Der oktober,Octubre,B2
Der spaziergang,El paseo,B2
Die moral,La moraleja,B2
Die leine,La correa,B2
Der versager,El fracaso,B2
Die etage,El piso,B2
Die ronnie,El ronnie,B2
Die sprung,El salto,B2
Das bargeld,El efectivo,B2
Der autor,El autor,B2
Der trost,El consuelo,B2
Der liebster,El mas querido,B2
Die unschuld,La inocencia,B2
Die sauerstoff,El oxigeno,B2
Die forschung,La investigacion,B2
Die shane,El shane,B2
Die liz,La liz,B2
Das frisst,Que come,B2
Das verhältnis,La relación,B2
Das ticket,El billete,B2
Die leistung,La actuación,B2
Der gürtel,El cinturón,B2
Das special,El especial,B2
Das eigentum,La propiedad,B2
Der teenager,El adolescente,B2
Der trank,El bebió,B2
Die schießerei,El tiroteo,B2
Die natalie,La natalia,B2
Der sektor,El sector,B2
Die verspätung,El retraso,B2
Die diebstahl,El robo,B2
Die action,La acción,B2
Die kasse,La caja registradora,B2
Die föderation,La federación,B2
Die fabelhaft,El fabuloso,B2
Der gegensatz,Lo contrario,B2
Das kissen,La almohada,B2
Der philip,El felipe,B2
Die diskussion,La discusión,B2
Das blatt,La hoja,B2
Der wettbewerb,La competencia,B2
Die bewährung,La libertad condicional,B2
Der lex,El lex,B2
Der spruch,El dicho,B2
Das testament,La voluntad,B2
Die beschreibung,La descripción,B2
Der gehalt,El salario,B2
Die tarnung,El camuflaje,B2
Die entwicklung,El desarrollo,B2
